COURSE_ID,SYLLABUS_ID
6NO88YWC36F6HKLESGVLE76R9E,4QVDG6ZYBBX27O31Q1RCP9JQ1E
Z2LJM8OH5WGM2P6O6MJVLY8PO8,13OB6KWBW3RTT4CMB6B6HN178E
9G4H8MKWF65WRE1MH7XT867WEO,VMMVO8HWVFB6E5B4SKRO5Y45D1
11COYJZ62VE8YOZ9ZWOVJQ5BB4,SS8EEFL1NVL23Q1ZFXQMKCX3YE
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,4KP2VCJBPCKYVMREEC17K3TKSM
