TOPIC_COURSE_ID,TOPIC_ID
6NO88YWC36F6HKLESGVLE76R9E,WFCG12MGR1Y2Q2T2MC7C9DH6V1
6NO88YWC36F6HKLESGVLE76R9E,6O8JP1Q6PW6CON61WJV6V2RVRY
6NO88YWC36F6HKLESGVLE76R9E,ZRE6PLQF9RJ74QTYZ1Q41QCPXM
6NO88YWC36F6HKLESGVLE76R9E,T39KMHHJOG5862WTLB9YVNF8JM
6NO88YWC36F6HKLESGVLE76R9E,56LLGT81OKG8VKONT6E6K96BN8
6NO88YWC36F6HKLESGVLE76R9E,FR51V4SNL1QYN3V35RXZSLPFBE
6NO88YWC36F6HKLESGVLE76R9E,6RGXWONJEOEXZ3OOB6H4V92ZZ4
6NO88YWC36F6HKLESGVLE76R9E,YGEFXCZRTQTB1N5E4L9F6NVX71
6NO88YWC36F6HKLESGVLE76R9E,GSG2YZ1FXXH7C42VKWC3CTKKZQ
6NO88YWC36F6HKLESGVLE76R9E,O7QWGJ3Y6XYGQ6MZWOVC4P57J4
6NO88YWC36F6HKLESGVLE76R9E,KJQN6LYBD6G6TSGDOCR17QPBYY
6NO88YWC36F6HKLESGVLE76R9E,QCE2NFVP824GJC7PH3GMR22F1M
6NO88YWC36F6HKLESGVLE76R9E,8BT4D52RMXBBO2YFL9MBEHCCRQ
6NO88YWC36F6HKLESGVLE76R9E,7WSSTLP3M6134NSOPT7R58Z3RM
6NO88YWC36F6HKLESGVLE76R9E,3X5B6BXR31HMW1GSFZTEDTRVFO
6NO88YWC36F6HKLESGVLE76R9E,PO7FJBP4TMOXW2S7RKEZG58511
6NO88YWC36F6HKLESGVLE76R9E,KSLT11DXDVRRQCVCBZ1LML6NG4
6NO88YWC36F6HKLESGVLE76R9E,ZWDVMRN673JJS1VJSB1BG4VW8Y
6NO88YWC36F6HKLESGVLE76R9E,DQTOT72M9THWKLED6VTMPBWCXO
6NO88YWC36F6HKLESGVLE76R9E,W6X98Z7PEYEXKSEW6VQVPGKTV8
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,LM3PXXYFVK786WRWEVZ27G7NZY
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,66THNVBP1F8NWLEF8SL5WZJOK1
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,QH9WPRS5S8RV6735MXTZ1PLLV4
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,JB2OXTDJMJW7M4BGGCBEN3ZQOE
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,2Z1OCGV263BFLPLS2WYKBJQTY4
