EM4_COURSE_ID,ASSET_FILTER_ID,FILTER_ON1,ATTRIBUTE1,FILTER_ON2,ATTRIBUTE2
ZCN2VELSKGXON6Q8Y7KXEKXJT8,ZCN2VELSKGXON6Q8Y7KXEKXJT8,assetType,LSNBLADE,em4BladeType,PROBLEM_SOLVING
ZCN2VELSKGXON6Q8Y7KXEKXJT8,ZCN2VELSKGXON6Q8Y7KXEKXJT8,assetType,N_COURSE,systemNodeType,UNIT
ZCN2VELSKGXON6Q8Y7KXEKXJT8,ZCN2VELSKGXON6Q8Y7KXEKXJT8,assetType,N_COURSE,targetAudience,TEACHERS
ZCN2VELSKGXON6Q8Y7KXEKXJT8,ZCN2VELSKGXON6Q8Y7KXEKXJT8,systemNodeType,EBOOK,targetAudience,STUDENTS

