EM4_COURSE_ID,ASSET_FILTER_ID,FILTER_ON1,ATTRIBUTE1,FILTER_ON2,ATTRIBUTE2
1OGLMH9XQGWYKHHLSGKO5CS59O,LY5CF22X7V3PDJ1DX61TBJ8MHE,assetType,LSNBLADE,em4BladeType,PROBLEM_SOLVING
1OGLMH9XQGWYKHHLSGKO5CS59O,1OGLMH9XQGWYKHHLSGKO5CS59O,assetType,N_COURSE,systemNodeType,UNIT
1OGLMH9XQGWYKHHLSGKO5CS59O,VG2V228RGR4EHWROZ83CYKW1EE,assetType,N_COURSE,targetAudience,TEACHERS
1OGLMH9XQGWYKHHLSGKO5CS59O,1OGLMH9XQGWYKHHLSGKO5CS59O,systemNodeType,LIBRARY,targetAudience,STUDENTS
