EM4_COURSE_ID,EM4_SYLLABUS_ID
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,4QH7P722YLZ2X1YOELGDG8SM58
WKFLPQPK563VPDFY6V1FMBXSYE,QL3FD6O8JPQ283XVHST4JJ92SM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,9X9JLOOV14NGS88RVD896E1CS8
M3BLX4K2Z67TOMTFGD4F7EPZNO,N62BJHWVCXZHJV2FCDF5QNV7KM
1W3VPWRMFN3T2YR734EBL4C7C4,6L3Z5D38CB5N4H1KKMWFJS1LCO
ZHOHOJJOMLXRYBGKCW9PYDWDNM,515F5NSK4YQOL728RXF8XSM16E
NVTZGTCXPB4NPRHZWHE1252HS1,M4V1Z1VRNF2ZO7M1B4YGWK1D9Q
XZTS43YGPTXHQ4HCQ82YPZEMMQ,LSPOVN24QHD8NDSXHC9ECLKBF4
